ResultID,Date,ProductID,StoreID,Quantity Ordered, Price Each ,Address,City
1,01/01/23,101,ST01,1,700,123 Main Street,NYC
2,01/02/23,102,ST02,1,14.95,456 Elm Avenue,LA
3,01/03/23,103,ST03,2,11.99,789 Oak Boulevard,Chicago
4,01/04/23,104,ST04,1,149.99,1000 Pine Drive,Houston
5,01/05/23,105,ST05,1,11.99,123 Maple Street,Phoenix
6,01/06/23,106,ST06,1,2.99,789 Elm Boulevard,San Antonio
7,01/07/23,107,ST07,1,389.99,789 Elm Boulevard,San Antonio
8,01/08/23,108,ST08,1,11.95,1000 Pine Drive,San Diego
9,01/09/23,109,ST09,1,99.99,456 Elm Avenue,San Jose
10,01/10/23,110,ST10,1,150,456 Elm Avenue,San Jose
11,01/11/23,111,ST11,1,150,789 Oak Boulevard,Austin
12,01/12/23,112,ST12,1,389.99,1000 Pine Drive,Jacksonville
13,01/13/23,113,ST13,3,2.99,123 Maple Street,San Antonio
14,01/14/23,114,ST14,1,149.99,456 Oak Avenue,Columbus
15,01/15/23,115,ST15,1,300,,Fort Worth
16,01/16/23,116,,1,149.99,1000 Pine Drive,Charlotte
17,01/17/23,117,ST01,1,400,123 Main Street,Seattle
18,01/18/23,118,ST02,1,150,456 Elm Avenue,Denver
19,01/19/23,119,ST03,1,11.95,789 Oak Boulevard,San Antonio
20,01/20/23,120,ST04,1,3.84,123 Maple Street,San Antonio
21,01/21/23,121,ST05,1,2.99,123 Maple Street,San Diego
22,01/22/23,122,ST06,1,11.95,456 Oak Avenue,San Jose
23,01/23/23,123,ST07,1,600,789 Elm Boulevard,San Jose
24,01/24/23,124,ST08,1,150,1000 Pine Drive,Austin
25,01/25/23,125,ST09,1,3.84,123 Main Street,Jacksonville
26,01/26/23,126,ST10,2,2.99,456 Elm Avenue,San Antonio
27,01/27/23,127,ST11,1,2.99,789 Oak Boulevard,Columbus
28,01/28/23,128,ST12,1,11.95,1000 Pine Drive,Fort Worth
29,01/29/23,129,ST13,1,2.99,123 Maple Street,Charlotte
30,01/30/23,130,ST14,1,99.99,456 Oak Avenue,Seattle
31,01/31/23,131,ST15,1,150,789 Elm Boulevard,Denver
32,02/01/23,132,ST01,1,150,1000 Pine Drive,Columbus
33,02/02/23,133,ST02,1,389.99,123 Main Street,Fort Worth
34,02/03/23,134,ST03,1,150,456 Elm Avenue,Charlotte
35,02/04/23,135,ST04,1,3.84,789 Oak Boulevard,Seattle
36,02/05/23,136,ST05,1,389.99,1000 Pine Drive,Denver
37,02/06/23,137,ST06,1,11.99,123 Maple Street,San Antonio
38,02/07/23,138,ST07,1,11.95,456 Oak Avenue,San Antonio
39,02/08/23,139,ST08,1,2.99,789 Elm Boulevard,San Diego
40,02/09/23,140,ST09,2,11.99,1000 Pine Drive,San Jose
41,02/10/23,141,ST10,1,11.95,123 Main Street,San Jose
42,02/11/23,142,ST11,1,11.95,456 Elm Avenue,Austin
43,02/12/23,143,ST12,1,11.99,789 Oak Boulevard,Jacksonville
44,02/13/23,144,ST13,1,14.95,1000 Pine Drive,San Antonio
45,02/14/23,145,ST14,1,99.99,123 Maple Street,Columbus
46,02/15/23,146,ST15,1,14.95,456 Oak Avenue,Fort Worth
47,02/16/23,147,,1,14.95,789 Elm Boulevard,Charlotte
48,02/17/23,148,,1,2.99,1000 Pine Drive,Seattle
49,02/18/23,149,,1,14.95,123 Main Street,Denver
50,02/19/23,150,ST01,1,400,456 Elm Avenue,Columbus
51,02/20/23,101,ST02,1,300,123 Main Street,Fort Worth
52,02/21/23,102,ST03,1,11.99,456 Elm Avenue,Charlotte
53,02/22/23,103,ST04,3,2.99,789 Oak Boulevard,Seattle
54,02/23/23,104,ST05,1,389.99,1000 Pine Drive,Denver
55,02/24/23,105,ST06,1,99.99,123 Maple Street,San Antonio
56,02/25/23,106,ST07,1,389.99,,San Antonio
57,02/26/23,107,ST08,1,109.99,456 Elm Avenue,San Diego
58,02/27/23,108,ST09,1,150,123 Main Street,San Jose
59,02/28/23,109,ST10,3,3.84,456 Elm Avenue,San Jose
60,03/01/23,110,ST11,1,3.84,789 Oak Boulevard,Austin
61,03/02/23,111,ST12,1,2.99,1000 Pine Drive,Jacksonville
62,03/03/23,112,ST13,1,11.95,123 Maple Street,San Antonio
63,03/04/23,113,ST14,1,99.99,789 Elm Boulevard,Columbus
64,03/05/23,114,ST15,1,3.84,789 Elm Boulevard,Fort Worth
65,03/06/23,115,,1,11.95,1000 Pine Drive,Charlotte
66,03/07/23,116,,1,14.95,456 Elm Avenue,Seattle
67,03/08/23,117,,1,14.95,456 Elm Avenue,Denver
68,03/09/23,118,,1,2.99,789 Oak Boulevard,San Antonio
69,03/10/23,119,,1,150,1000 Pine Drive,San Antonio
70,03/11/23,120,ST01,1,150,123 Maple Street,Columbus
71,03/12/23,121,ST02,2,2.99,456 Oak Avenue,Fort Worth
72,03/13/23,122,ST03,1,3.84,789 Elm Boulevard,Charlotte
73,03/14/23,123,ST04,1,11.95,1000 Pine Drive,Seattle
74,03/15/23,,ST05,3,2.99,123 Main Street,Denver
